List,Order,Item,Condition,Amb,Vis,Half,FirstDisplay,SecondDisplay,sentence,Chinese,Italian
3,4,p3,,,,1,p0401.jpg,p0402.jpg,The knight saw a bale of straw and a chicken  on his way to work.,骑士在去工作的路上，看见了一垛干草和一只鸡。,Il cavaliere ha visto una balla di fieno e un pollo mentre andava al lavoro.
3,5,p2,,,,1,p0301.jpg,p0302.jpg,A young girl liked the teddy very much when she was  shopping with her mother.,小女孩和妈妈去买东西的时候，一眼看上了这个泰迪熊。,L'orsacchiotto e' piaciuto molto alla bambina quando faceva la spesa con la sua mamma.
3,6,x01,,,,1,x0301.jpg,x0302.jpg,"When he was alone, the ghost felt lonely. ",鬼魂独自呆着的时候，会感到孤独。,"Quando era solo, il fantasma si sentiva solo."
3,7,x02,,,,1,x0201.jpg,x0202.jpg,The Egyptian had lost her way when she met  a man with a compass.,埃及人迷路的时候，遇到了一个带着指南针的男人。,L'egiziana aveva smarrito la strada quando ha incontrato un uomo con la bussola.
3,8,1,2,1,2,1,2011.jpg,2012.jpg,The witch visited the garden with the girl. ,女巫和女孩去参观了花园。,La strega ha visitato il giardino con la bambina.
3,9,x03,,,,1,x3101.jpg,x3102.jpg,The neighbour's cats were vegetarians.,领居家的猫吃素。,I gatti del vicino erano vegetariani.
3,10,2,3,2,1,1,3021.jpg,3022.jpg,The Indian went to the forest with the countess.,印第安人和女爵士去了森林。,L'indiano e' andato nella foresta con la contessa.
3,11,x04,,,,1,x0701.jpg,x0702.jpg,Grandmother saw her rabbits were outside.,奶奶看见她的兔子正在外面。,La nonna ha visto che i conigli erano usciti.
3,12,3,4,2,2,1,4031.jpg,4032.jpg,The countess came out of the house with the priest.,女爵士和牧师从房子里出来。,La contessa e' uscita da casa con il prete.
3,13,x05,,,,1,x0501.jpg,x0502.jpg,The knight asked the race car driver for his helmet.,骑士找赛车手要他的头盔。,Il cavaliere ha chiesto l'elmetto al pilota di auto da corsa. 
3,14,4,1,1,1,1,1041.jpg,1042.jpg,The king visited the castle with the pilot.,国王和飞行员去参观了城堡。,Il re ha visitato il castello con il pilota.
3,15,x06,,,,1,x2101.jpg,x2102.jpg,The fire-fighter was in a hurry when he saw the  red traffic light.,消防员正在赶时间，却撞上了红灯。,Il pompiere aveva fretta quando ha visto il semaforo rosso.
3,16,5,3,2,1,1,3051.jpg,3052.jpg,The captain was invited to the palace with  the policewoman.,船长和女警察被邀请去宫殿。,Il capitano e' stato invitato a palazzo con la poliziotta.
3,17,x07,,,,1,x0601.jpg,x0602.jpg,The waitress heard someone behind her.,服务员听见背后有人。,La cameriera ha sentito che c'era qualcuno dietro di lei.
3,18,6,1,1,1,1,1061.jpg,1062.jpg,The gardener went to the river with the groom.,园丁和新郎去游河。,Il giardiniere e' andato al fiume con lo sposo.
3,19,x08,,,,1,x0801.jpg,x0802.jpg,The cleaner saw the carpet was relatively clean.,清洁工发现地毯还算干净。,L'addetta alle pulizie ha notato che il tappeto era relativamente pulito.
3,20,x09,,,,1,x1501.jpg,x1502.jpg,The new zookeeper was introduced to the seals. ,新来的动物管理员被介绍给了海豹们。,Il nuovo lavoratore dello zoo e' stato presentato alle foche.
3,21,7,4,2,2,1,4071.jpg,4072.jpg,The woman explored the cave with the king.,女人和国王去探索了洞穴。,La donna ha esplorato la caverna con il re.
3,22,x10,,,,1,x1901.jpg,x1902.jpg,The astronaut was visiting his colleague's home.,宇航员去拜访了同事家。,L'astronauta stava visitando il suo collega a casa sua.
3,23,8,2,1,2,1,2081.jpg,2082.jpg,The gladiator had a chat with the gentleman.,角斗士和绅士聊了会天。,Il gladiatore ha chiaccherato con il signore.
3,24,x11,,,,1,x2601.jpg,x2602.jpg,The footballer found the ball on his way home.,足球运动员在回家的路上发现了自己的球。,Il calciatore ha trovato la palla mentre tornava a casa sua. 
3,25,9,1,1,1,1,1091.jpg,1092.jpg,The queen enjoyed a discussion with the nanny.,王后和保姆进行了愉快的谈话。,La regina ha conversato con la bambinaia.
3,26,x12,,,,1,x0401.jpg,x0402.jpg,The thief had been trying to open the safe for hours.,小偷这几个小时一直在尝试打开保险箱。,Il ladro aveva tentato per ore di aprire la cassaforte.
3,27,10,2,1,2,1,2101.jpg,2102.jpg,The boy went to the race track with the wizard.,男孩和巫师去了赛道。,Il bambino e' andato all'autodromo con il mago.
3,28,x13,,,,1,x1201.jpg,x1202.jpg,The plumber held a hula hoop in front of his daughter.,水管工在他女儿面前放了个呼拉圈。,L'idraulico ha tenuto alzato l'hula hoop  davanti a sua figlia.
3,29,x14,,,,1,x1301.jpg,x1302.jpg,The seals became very hungry after the new zookeeper had gone home.,新来的动物管理员回家后，海豹们变得很饿。,Alle foche e' venuta tanta fame dopo che l'addetto allo zoo e' tornato a casa.
3,30,11,3,2,1,1,3111.jpg,3112.jpg,The mermaid left hospital with the policeman.,美人鱼和男警察离开了医院。,La sirena e' uscita dall' ospedale con il poliziotto.
3,31,x15,,,,1,x1401.jpg,x1402.jpg,A bird had been sitting on the zookeeper's cage.,一只鸟蹲在动物管理员的笼子上。,Un uccello stava seduto sulla gabbia dell'addetto allo zoo.
3,32,12,4,2,2,1,4121.jpg,4122.jpg,The queen went for a walk with the prince.,王后和王子去散步。,La regina ha fatto una passeggiata con il principe.
